Endpoint,readTimestamp,rssi,tagMac
19243e66-5ace-11e9-8fe2-001d054d25e2,2019-11-07T18-04-57.605-0500,-63,0x5f8d55
19243e66-5ace-11e9-8fe2-001d054d25e2,2019-11-07T18-04-57.605-0500,-65,0x5f8d56
19243e66-5ace-11e9-8fe2-001d054d25e2,2019-11-07T18-04-57.605-0500,-63,0x5f8da1
19243e66-5ace-11e9-8fe2-001d054d25e2,2019-11-07T18-04-57.605-0500,-62,0x5f8d51
19243e66-5ace-11e9-8fe2-001d054d25e2,2019-11-07T18-04-57.605-0500,-64,0x5f8d9d
fea38b1e-5acd-11e9-9475-001d054d25e2,2019-11-07T18-04-57.950-0500,-59,0x5f8e3a
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-63,0x5f8d56
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-55,0x5f8d49
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-55,0x5f8d4b
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-58,0x5f8da1
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-64,0x5f8d4a
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-59,0x5f8d51
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-65,0x5f8d9e
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-58,0x5f8d9d
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-60,0x5f8d9f
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-60,0x5f8d48
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-63,0x5f8d55
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-64,0x5f8d53
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-04-58.105-0500,-65,0x5f8da0
48067a00-6519-11e9-9afd-001d054d25e2,2019-11-07T18-04-58.246-0500,-59,0x5f8e39
48067a00-6519-11e9-9afd-001d054d25e2,2019-11-07T18-04-58.246-0500,-58,0x5f8e38
48067a00-6519-11e9-9afd-001d054d25e2,2019-11-07T18-04-58.246-0500,-56,0x5f8e3a
48067a00-6519-11e9-9afd-001d054d25e2,2019-11-07T18-04-58.246-0500,-60,0x5f8e3b
3c0c5940-6519-11e9-b937-001d054d25e2,2019-11-07T18-04-58.442-0500,-63,0x5f8e3a
3c0c5940-6519-11e9-b937-001d054d25e2,2019-11-07T18-04-58.442-0500,-63,0x5f8e3d
3c0c5940-6519-11e9-b937-001d054d25e2,2019-11-07T18-04-58.442-0500,-64,0x5f8e38
3c0c5940-6519-11e9-b937-001d054d25e2,2019-11-07T18-04-58.442-0500,-63,0x5f8e39
e54bffce-5ace-11e9-b732-001d054d25e2,2019-11-07T18-04-58.507-0500,-63,0x5f8e38
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-04-58.838-0500,-63,0x5f8d4f
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-04-58.838-0500,-65,0x5f8d52
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-04-58.838-0500,-64,0x5f8d51
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-04-58.838-0500,-65,0x5f8d4d
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-04-58.838-0500,-61,0x5f8d50
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-04-58.838-0500,-64,0x5f8da0
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-04-58.838-0500,-64,0x5f8d48
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-04-58.838-0500,-64,0x5f8d56
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-04-58.838-0500,-65,0x5f8d53
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-04-58.838-0500,-64,0x5f8d4e
f50d776c-5ace-11e9-ba0b-001d054d25e2,2019-11-07T18-04-58.838-0500,-65,0x5f8d9d
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-04-58.901-0500,-61,0x5f8d4f
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-04-58.901-0500,-65,0x5f8d52
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-04-58.901-0500,-65,0x5f8d4d
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-04-58.901-0500,-63,0x5f8d9d
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-04-58.901-0500,-65,0x5f8d50
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-04-58.901-0500,-62,0x5f8d55
05214ee0-5ace-11e9-87c5-001d054d25e2,2019-11-07T18-04-58.901-0500,-64,0x5f8d4e
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-04-59.357-0500,-61,0x5f8d52
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-04-59.357-0500,-64,0x5f8da1
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-04-59.357-0500,-63,0x5f8d4a
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-04-59.357-0500,-63,0x5f8d9e
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-04-59.357-0500,-62,0x5f8d4d
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-04-59.357-0500,-59,0x5f8d9d
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-04-59.357-0500,-61,0x5f8d55
0b3312e6-5ace-11e9-a5b3-001d054d25e2,2019-11-07T18-04-59.357-0500,-60,0x5f8d49
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-04-59.364-0500,-58,0x5f8e3e
28bf8cde-5ad0-11e9-9334-001d054d25e2,2019-11-07T18-04-59.364-0500,-62,0x5f8e3d
